 tap phi Keff_per_unit(Joules) layer realisation phi_cut -phi_cut nomber_total number_cuts number+
           6  0.599528253       3.38374058E-08           9           1  0.720936418      0.564470530       818.000000       15.0000000       77.0000000    
           7  0.678376615       1.63725424E-08           1           1  0.721926570      0.643118858       908.000000       405.000000       1.00000000    
           7  0.708739042       1.61903841E-08           2           1  0.721179485      0.642248809       920.000000       775.000000       0.00000000    
           7  0.695419371       1.75576123E-08           3           1  0.720883667      0.644563198       1288.00000       857.000000       1.00000000    
           7  0.634397924       2.02853769E-08           4           1  0.717068851      0.618079364       825.000000       136.000000       0.00000000    
           7  0.592046499       2.25437127E-08           5           1  0.707913041      0.591905653       824.000000       1.00000000       0.00000000    
           7  0.591152430       2.43193998E-08           6           1              NaN  0.591152430       847.000000       0.00000000       0.00000000    
           7  0.596384227       2.72761991E-08           7           1              NaN  0.596384227       863.000000       0.00000000       0.00000000    
           7  0.598084211       3.01433047E-08           8           1  0.701652467      0.597964406       865.000000       1.00000000       0.00000000    
           7  0.596382618       3.43632003E-08           9           1  0.716902971      0.568289876       816.000000       17.0000000       66.0000000    
           8  0.678923428       1.66036873E-08           1           1  0.722335756      0.643656313       908.000000       407.000000       0.00000000    
           8  0.709310114       1.63896985E-08           2           1  0.721141636      0.635129273       916.000000       790.000000       0.00000000    
           8  0.695735097       1.71108354E-08           3           1  0.721289515      0.641206503       1306.00000       888.000000       1.00000000    
           8  0.634404123       1.95786427E-08           4           1  0.715464771      0.619168937       828.000000       131.000000       0.00000000    
           8  0.590920091       2.15476277E-08           5           1              NaN  0.590920091       817.000000       0.00000000       0.00000000    
           8  0.592247069       2.39618156E-08           6           1              NaN  0.592247069       851.000000       0.00000000       0.00000000    
           8  0.597661912       2.67295377E-08           7           1              NaN  0.597661912       869.000000       0.00000000       0.00000000    
           8  0.600659311       2.98478859E-08           8           1              NaN  0.600659311       869.000000       0.00000000       0.00000000    
           8  0.577360690       3.36051826E-08           9           1  0.721390486      0.558086216       794.000000       12.0000000       46.0000000    
           9  0.678887367       1.64253322E-08           1           1  0.722455740      0.643492818       908.000000       407.000000       0.00000000    
           9  0.708670974       1.61882561E-08           2           1  0.721066833      0.635414541       919.000000       786.000000       0.00000000    
           9  0.697289884       1.72059096E-08           3           1  0.720905423      0.642762721       1307.00000       912.000000       0.00000000    
